record,Bullied_on_school_property_in_past_12_months,Age,Sex,Felt Lonely,Close Friends,Other Students Kind and Helpful
26821,Yes,15 years old,Female,Rarely,3 or more,Rarely
26822, ,16 years old,Male,Rarely, ,Always
26823,No,15 years old,Female,Never,1,Rarely
26824,Yes,15 years old,Male,Never, ,Rarely
26825, ,15 years old,Male,Never,3 or more,Always
26826,No,15 years old,Female,Always,3 or more,Most of the time
26827,No,15 years old,Male,Rarely,0,Most of the time
26828,No,16 years old,Male,Sometimes,2,Most of the time
26829,No,16 years old,Male,Always,3 or more,Never
26830,No,15 years old,Male,Rarely,2,Sometimes
26831,No,15 years old,Female,Most of the time,2,Most of the time
26832,Yes,16 years old,Female,Sometimes,3 or more,Sometimes
26833,No,17 years old,Female,Sometimes,3 or more,Always
26834,No,16 years old,Male,Never,3 or more,Most of the time
26835,Yes,16 years old,Female,Always,3 or more,Sometimes
26836,No,17 years old,Male,Never,3 or more,Most of the time
26837,No,17 years old,Female,Sometimes,2,Sometimes
26838,No,16 years old,Male,Rarely,3 or more,Sometimes
26839,No,16 years old,Male,Sometimes,3 or more,Always
26840,No,17 years old,Female,Most of the time,3 or more,Most of the time
26841,Yes,17 years old,Female,Always,1,Most of the time
26842,No,16 years old,Female,Most of the time,2,Most of the time
26843,No,16 years old,Female,Rarely,3 or more,Sometimes
26844,Yes,16 years old,Female,Sometimes,2,Rarely
26845,No,16 years old,Female,Sometimes,1,Rarely
26846,No,16 years old,Female,Sometimes,3 or more,Sometimes
26847,No,16 years old,Female,Rarely,3 or more,Rarely
26848,No,16 years old,Female,Rarely,1,Rarely
26849,No,16 years old,Male,Never,3 or more,Most of the time
26850,No,16 years old, ,Never,3 or more,Always
26851,No,16 years old,Female,Most of the time,3 or more,Most of the time
26852,No,16 years old,Male,Never,3 or more,Most of the time
26853,No,17 years old,Female,Most of the time,3 or more,Sometimes
26854,No,17 years old,Female,Rarely,0,Rarely
26855,No,17 years old,Male,Rarely,2,Sometimes
26856,Yes,17 years old,Male,Most of the time,3 or more,Never
26857,No,17 years old,Female,Rarely,2,Rarely
26858,No,17 years old,Female,Sometimes,1,Always
26859,Yes,13 years old,Male,Never,3 or more,Rarely
26860, ,13 years old,Male,Never,0,Rarely
26861,No,14 years old,Male,Never,2,Never
26862,No,13 years old,Male,Never,0,Rarely
26863,Yes,13 years old,Female,Most of the time,2,Rarely
26864,No,14 years old,Female,Never,3 or more,Never
26865,No,14 years old,Female,Never,3 or more, 
26866,No,13 years old,Female,Never,2,Rarely
26867,No,13 years old,Female,Never,3 or more,Rarely
26868,No,13 years old,Female,Never,3 or more,Sometimes
26869,No,14 years old,Male,Never,3 or more,Sometimes
26870,No,13 years old,Male,Never,3 or more,Rarely
26871,No,14 years old,Female,Sometimes,2,Rarely
26872,No,14 years old,Female,Never,1,Sometimes
26873,No,14 years old,Male,Never,3 or more,Never
26874,No,13 years old,Female,Never,2,Most of the time
26875,No,13 years old,Female,Most of the time,2,Sometimes
26876,No,13 years old,Male,Rarely,2,Rarely
26877,No,13 years old,Female,Never,0,Rarely
26878,No,13 years old,Male,Never,2,Most of the time
26879,No,13 years old,Female,Never,2,Most of the time
26880,No,13 years old,Female,Never,2,Most of the time
26881,No,13 years old,Male,Never,2,Most of the time
26882,No,13 years old,Female,Never,2,Most of the time
26883,No,13 years old,Male,Never,3 or more,Most of the time
26884,No,13 years old,Female,Never,2,Most of the time
26885,No,13 years old,Female,Never,1,Most of the time
26886, ,13 years old,Male,Rarely,0,Sometimes
26887,No,13 years old,Male,Most of the time,3 or more,Most of the time
26888,No,13 years old,Female,Never,2,Most of the time
26889,No,13 years old,Male,Never,2,Sometimes
26890,No,13 years old,Female,Never,2,Most of the time
26891,No,13 years old,Male,Never,2,Most of the time
26892,No,13 years old,Female,Never,2,Most of the time
26893,No,13 years old,Male,Never,3 or more,Sometimes
26894,No,13 years old,Female,Never,2,Most of the time
26895,No,13 years old,Male,Never,2,Most of the time
26896,No,14 years old,Male,Never,0,Never
26897,No,14 years old,Male,Never,3 or more,Never
26898,No,14 years old,Female,Never,0,Never
26899,No,14 years old,Female,Rarely,3 or more,Rarely
26900,No,14 years old,Male,Never,3 or more,Rarely
26901,No,14 years old,Male,Never,1,Rarely
26902,No,14 years old,Male,Never,3 or more,Sometimes
26903,No,14 years old,Male,Never,3 or more,Most of the time
26904,No,15 years old,Male,Never,3 or more,Sometimes
26905,No,14 years old,Female,Never,3 or more,Always
26906,No,14 years old,Female,Never,1,Sometimes
26907,No,15 years old,Female,Sometimes,2,Most of the time
26908,No,15 years old,Female,Always,3 or more,Never
26909,No,14 years old,Male,Never,1,Rarely
26910,No,14 years old,Male,Rarely,3 or more,Most of the time
26911,Yes,15 years old,Female,Never,2,Rarely
26912,No,14 years old,Female,Sometimes,3 or more,Most of the time
26913,No,14 years old,Male,Never,3 or more,Sometimes
26914,No,15 years old,Male,Sometimes,3 or more,Rarely
26915,No,16 years old,Female,Rarely,2,Most of the time
26916,Yes,15 years old,Female,Most of the time,3 or more,Most of the time
26917,Yes,15 years old,Male,Never,2,Never
26918,Yes,15 years old,Male,Sometimes,2,Sometimes
26919,No,16 years old,Female,Rarely,2,Sometimes
26920,Yes,16 years old,Female,Most of the time,2,Rarely
26921,No,16 years old,Male,Never,3 or more,Most of the time
26922,Yes,16 years old,Female,Sometimes,3 or more,Always
26923,No,16 years old,Female,Rarely,3 or more,Never
26924,No,15 years old,Male,Sometimes,3 or more,Most of the time
26925,No,15 years old,Female,Rarely,2,Rarely
26926,No,15 years old,Female,Rarely,2,Rarely
26927,Yes,15 years old,Female,Rarely,2,Rarely
26928,No,16 years old,Male,Rarely,3 or more,Rarely
26929,Yes,15 years old,Female,Never,3 or more,Always
26930,No,15 years old,Male,Never,3 or more,Never
26931,No,15 years old,Male,Never,3 or more,Always
26932,No,16 years old,Female,Never,1,Rarely
26933,No,15 years old,Female,Rarely,3 or more,Most of the time
26934,Yes,15 years old,Female,Always,3 or more,Rarely
26935,No,16 years old,Male,Sometimes,2,Sometimes
26936,No,16 years old,Male,Rarely,3 or more,Most of the time
26937,No,16 years old,Male,Rarely,3 or more,Most of the time
26938,No,17 years old,Male,Rarely,3 or more,Rarely
26939,No,17 years old,Male,Most of the time,1,Rarely
26940,No,16 years old,Female,Rarely,1,Rarely
26941,Yes,17 years old,Female,Sometimes,3 or more,Never
26942,Yes,16 years old,Female,Rarely,3 or more,Never
26943,No,16 years old,Male,Never,1,Most of the time
26944,Yes,17 years old,Female,Rarely,3 or more,Never
26945,No,17 years old,Female,Never,3 or more,Never
26946,No,16 years old,Female,Never,3 or more,Never
26947,No,16 years old,Male,Rarely,3 or more,Sometimes
26948,Yes,16 years old,Female,Sometimes,3 or more,Rarely
26949,No,16 years old,Male,Never,2,Most of the time
26950,No,17 years old,Female,Rarely,3 or more,Sometimes
26951,No,16 years old,Male,Rarely,2,Sometimes
26952,No,16 years old,Male,Never,3 or more,Most of the time
26953,No,16 years old,Female,Never,3 or more,Always
26954,No,17 years old,Male,Never,1,Always
26955,No,17 years old,Female,Most of the time,2,Never
26956,No,17 years old,Male,Most of the time,0,Never
26957,No,17 years old,Female,Most of the time,3 or more,Rarely
26958,No,17 years old,Female,Most of the time,3 or more,Rarely
26959,No,17 years old,Female,Most of the time,3 or more,Sometimes
26960,No,17 years old,Female,Rarely,0,Rarely
26961,No,17 years old,Female,Sometimes,3 or more,Rarely
26962,No,17 years old,Female,Sometimes,3 or more,Rarely
26963,No,17 years old,Male,Never,3 or more,Always
26964,No,17 years old,Female,Most of the time,3 or more,Sometimes
26965,Yes,13 years old,Male,Never,3 or more,Rarely
26966, ,13 years old,Male,Never,0,Rarely
26967,No,14 years old,Male,Never,2,Never
26968,No,13 years old,Male,Never,0,Rarely
26969,Yes,13 years old,Female,Most of the time,2,Rarely
26970,No,14 years old,Female,Never,3 or more,Never
26971,No,14 years old,Female,Never,3 or more, 
26972,No,13 years old,Female,Never,2,Rarely
26973, ,13 years old,Female,Never,3 or more,Rarely
26974,No,14 years old,Male,Never,3 or more,Sometimes
26975,No,14 years old,Male,Never,3 or more,Sometimes
26976,No,13 years old,Male,Never,3 or more,Rarely
26977,No,14 years old,Female,Sometimes,2,Rarely
26978,No,14 years old,Female,Never,1,Sometimes
26979,No,14 years old,Male,Never,3 or more,Never
26980,No,16 years old, ,Never,2,Always
26981,No,13 years old,Female,Most of the time,2,Sometimes
26982,No,14 years old,Male,Rarely,2,Rarely
26983,Yes,13 years old,Female,Rarely,3 or more,Rarely
26984,No,13 years old,Male,Rarely,3 or more,Rarely
26985,No,13 years old,Female,Never,3 or more,Rarely
26986,No,13 years old,Male,Never,3 or more,Rarely
26987,No,13 years old,Female,Never,3 or more,Most of the time
26988,No,15 years old,Male,Rarely,1,Sometimes
26989,No,13 years old,Female,Sometimes,3 or more,Sometimes
26990,No,14 years old,Male,Never,3 or more,Always
26991,Yes,14 years old,Male,Never,3 or more,Sometimes
26992,No,13 years old,Female,Most of the time, ,Sometimes
26993,No,13 years old,Female,Never,3 or more,Always
26994,No,13 years old,Female,Never,3 or more,Always
26995,No,15 years old,Male,Never,3 or more,Sometimes
26996,No,13 years old,Female,Most of the time,2,Rarely
26997,No,14 years old,Female,Never,2,Always
26998,No,13 years old,Female,Never,3 or more,Most of the time
26999,Yes,13 years old,Male,Never,3 or more,Never
27000,No,15 years old,Male,Never,0,Never
27001,No,14 years old,Male,Never,3 or more, 
27002,No,14 years old,Male,Never,0,Never
27003,No,14 years old,Female,Rarely,3 or more,Rarely
27004,No,14 years old,Male,Never,3 or more,Rarely
27005,No,14 years old,Male,Never,1,Rarely
27006,No,14 years old,Male,Never,3 or more,Most of the time
27007,No,15 years old,Male,Never,3 or more,Sometimes
27008,No,14 years old,Female,Never,3 or more,Always
27009,No,14 years old,Female,Never,1,Sometimes
27010,No,15 years old,Female,Sometimes,2,Most of the time
27011,No,15 years old,Female,Always,3 or more,Never
27012,No,14 years old,Male,Never,1,Rarely
27013,No,14 years old,Male,Rarely,3 or more,Most of the time
27014,Yes,15 years old,Female,Never,2,Rarely
27015,No,15 years old,Male,Never,3 or more,Never
27016,No,16 years old,Male,Most of the time,3 or more,Sometimes
27017,No,14 years old,Female,Sometimes,3 or more,Most of the time
27018,No,14 years old,Female,Never,3 or more,Rarely
27019,No,15 years old, ,Always,2,Always
27020,No,14 years old,Male,Never,3 or more,Sometimes
27021,No,16 years old,Male,Rarely,0,Sometimes
27022,Yes,14 years old,Male,Never,3 or more,Always
27023,No,14 years old,Male,Never,1,Sometimes
27024,No,15 years old,Male,Sometimes,3 or more,Rarely
